discipline	Toutes les disciplines
discipline:1061:1039:1175	Psychologie médicale	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1355	Allergie et immunologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1361	Anesthésiologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1363	Angéiologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1373	Cardiologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1393	Dermatologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1395	Diabétologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1403	Douleur, soins palliatifs	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1411	Endocrinologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1413	Génétique médicale	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1415	Gériatrie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1417	Gynécologie, grossesses, néonatologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1419	Hématologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1421	Hépatologie, gastro-entérologie	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1431	Maladies infectieuses, parasitaires et fongiques	https://w3id.org/kim/hochschulfaechersystematik/n49
discipline:1061:1039:1433	Médecine d'urgence	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1435	Médecine du sport	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1437	Médecine du travail	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1439	Médecine interne	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1441	Médecine légale	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1443	Médecine militaire	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1445	Médecine nucléaire	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1447	Médecine préventive	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1451	Néphrologie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1453	Neuroanatomie	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1457	Nutrition	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1461	Oncologie médicale	https://w3id.org/kim/hochschulfaechersystematik/n107
discipline:1061:1039:1469	Pédiatrie	https://w3id.org/kim/hochschulfaechersystematik/n107
